event_id,timestamp,object_id,object_type,behavior,zone,position_x,position_y,duration,confidence,metadata,source
crowd_unknown_area_1757829135,2025-09-14 13:52:15.579535,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 6, ""threshold"": 5}",system
crowd_unknown_area_1757829135,2025-09-14 13:52:15.723000,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 6, ""threshold"": 5}",system
speed_3_1757829135,2025-09-14 13:52:15.885887,3,person,abnormal_speed,unknown_area,1409.2361450195312,-734.7521362304688,,1.0,"{""speed"": 127.27047887507486, ""threshold"": 100.0}",20250910_205534_3687560-uhd_2160_3840_30fps.mp4
crowd_unknown_area_1757829135,2025-09-14 13:52:15.885887,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 6, ""threshold"": 5}",system
crowd_unknown_area_1757829136,2025-09-14 13:52:16.059146,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 6, ""threshold"": 5}",system
speed_8_1757829136,2025-09-14 13:52:16.220431,8,person,abnormal_speed,unknown_area,1272.4426879882812,-1683.255615234375,,1.0,"{""speed"": 119.82890373814523, ""threshold"": 100.0}",20250910_205534_3687560-uhd_2160_3840_30fps.mp4
crowd_unknown_area_1757829136,2025-09-14 13:52:16.220431,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 6, ""threshold"": 5}",system
speed_8_1757829136,2025-09-14 13:52:16.388797,8,person,abnormal_speed,unknown_area,1278.9944458007812,-1710.8592529296875,,1.0,"{""speed"": 168.5400724262937, ""threshold"": 100.0}",20250910_205534_3687560-uhd_2160_3840_30fps.mp4
crowd_unknown_area_1757829136,2025-09-14 13:52:16.388797,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 7, ""threshold"": 5}",system
speed_3_1757829136,2025-09-14 13:52:16.550906,3,person,abnormal_speed,unknown_area,1353.794921875,-763.6697998046875,,1.0,"{""speed"": 126.79601679111514, ""threshold"": 100.0}",20250910_205534_3687560-uhd_2160_3840_30fps.mp4
speed_8_1757829136,2025-09-14 13:52:16.550906,8,person,abnormal_speed,unknown_area,1281.3949584960938,-1727.047607421875,,1.0,"{""speed"": 100.96034093563324, ""threshold"": 100.0}",20250910_205534_3687560-uhd_2160_3840_30fps.mp4
crowd_unknown_area_1757829136,2025-09-14 13:52:16.550906,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 8, ""threshold"": 5}",system
speed_3_1757829136,2025-09-14 13:52:16.713128,3,person,abnormal_speed,unknown_area,1338.14892578125,-780.0507202148438,,1.0,"{""speed"": 139.61768863754546, ""threshold"": 100.0}",20250910_205534_3687560-uhd_2160_3840_30fps.mp4
speed_4_1757829136,2025-09-14 13:52:16.713128,4,umbrella,abnormal_speed,entrance,1128.6707458496094,272.9791564941406,,1.0,"{""speed"": 102.08325654014041, ""threshold"": 100.0}",20250910_205534_3687560-uhd_2160_3840_30fps.mp4
crowd_unknown_area_1757829136,2025-09-14 13:52:16.713128,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 8, ""threshold"": 5}",system
speed_3_1757829136,2025-09-14 13:52:16.875781,3,person,abnormal_speed,unknown_area,1324.3696899414062,-789.8349609375,,1.0,"{""speed"": 103.92375830054407, ""threshold"": 100.0}",20250910_205534_3687560-uhd_2160_3840_30fps.mp4
crowd_unknown_area_1757829136,2025-09-14 13:52:16.875781,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 8, ""threshold"": 5}",system
speed_8_1757829137,2025-09-14 13:52:17.038574,8,person,abnormal_speed,unknown_area,1320.3766479492188,-1755.5238037109375,,1.0,"{""speed"": 122.36991430373736, ""threshold"": 100.0}",20250910_205534_3687560-uhd_2160_3840_30fps.mp4
crowd_unknown_area_1757829137,2025-09-14 13:52:17.038574,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 8, ""threshold"": 5}",system
speed_8_1757829137,2025-09-14 13:52:17.206462,8,person,abnormal_speed,unknown_area,1329.0132446289062,-1777.116455078125,,1.0,"{""speed"": 138.49925244084844, ""threshold"": 100.0}",20250910_205534_3687560-uhd_2160_3840_30fps.mp4
