event_id,timestamp,object_id,object_type,behavior,zone,position_x,position_y,duration,confidence,metadata,source
crowd_unknown_area_1755590939,2025-08-19 16:08:59.784730,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 9, ""threshold"": 5}",system
speed_8_1755590939,2025-08-19 16:08:59.831698,8,car,abnormal_speed,unknown_area,276.4359893798828,798.1056060791016,,1.0,"{""speed"": 113.38765162808522, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
crowd_unknown_area_1755590939,2025-08-19 16:08:59.831698,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 9, ""threshold"": 5}",system
speed_6_1755590939,2025-08-19 16:08:59.875762,6,truck,abnormal_speed,unknown_area,231.9132537841797,800.5699768066406,,1.0,"{""speed"": 106.58514567485676, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
crowd_unknown_area_1755590939,2025-08-19 16:08:59.875762,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 9, ""threshold"": 5}",system
speed_3_1755590939,2025-08-19 16:08:59.925559,3,car,abnormal_speed,unknown_area,336.9247283935547,768.8318786621094,,1.0,"{""speed"": 111.82966460472524, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
crowd_unknown_area_1755590939,2025-08-19 16:08:59.925559,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 9, ""threshold"": 5}",system
speed_1_1755590939,2025-08-19 16:08:59.971658,1,car,abnormal_speed,unknown_area,77.98690032958984,700.5281219482422,,1.0,"{""speed"": 325.1482405979266, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_2_1755590939,2025-08-19 16:08:59.971658,2,car,abnormal_speed,unknown_area,161.97317504882812,700.9882659912109,,1.0,"{""speed"": 583.5289720255671, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_3_1755590939,2025-08-19 16:08:59.971658,3,car,abnormal_speed,unknown_area,323.587890625,763.9496612548828,,1.0,"{""speed"": 307.9705333270627, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_4_1755590939,2025-08-19 16:08:59.971658,4,car,abnormal_speed,unknown_area,385.6505584716797,775.8557434082031,,1.0,"{""speed"": 132.78635662634736, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_5_1755590939,2025-08-19 16:08:59.971658,5,car,abnormal_speed,unknown_area,403.1159973144531,791.6014862060547,,1.0,"{""speed"": 109.90012806182862, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_6_1755590939,2025-08-19 16:08:59.971658,6,car,abnormal_speed,unknown_area,206.49386596679688,799.1973571777344,,1.0,"{""speed"": 483.53919242540286, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_8_1755590939,2025-08-19 16:08:59.971658,8,car,abnormal_speed,unknown_area,254.6251983642578,798.4575347900391,,1.0,"{""speed"": 380.92575002600177, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
crowd_unknown_area_1755590939,2025-08-19 16:08:59.971658,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 9, ""threshold"": 5}",system
speed_2_1755590940,2025-08-19 16:09:00.051063,2,car,abnormal_speed,unknown_area,99.40333557128906,687.7894439697266,,1.0,"{""speed"": 805.8828454988878, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_3_1755590940,2025-08-19 16:09:00.051063,3,car,abnormal_speed,unknown_area,268.4324951171875,731.5892791748047,,1.0,"{""speed"": 805.8944992205742, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_4_1755590940,2025-08-19 16:09:00.051063,4,car,abnormal_speed,unknown_area,356.1055908203125,746.1434020996094,,1.0,"{""speed"": 528.0581240425342, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_5_1755590940,2025-08-19 16:09:00.051063,5,car,abnormal_speed,unknown_area,385.5048828125,769.1850891113281,,1.0,"{""speed"": 359.25583179194035, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_6_1755590940,2025-08-19 16:09:00.051063,6,car,abnormal_speed,unknown_area,91.27469635009766,781.3836517333984,,1.0,"{""speed"": 1469.2892296661105, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_7_1755590940,2025-08-19 16:09:00.051063,7,car,abnormal_speed,unknown_area,436.77940368652344,782.1610412597656,,1.0,"{""speed"": 235.81603987043601, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_8_1755590940,2025-08-19 16:09:00.051063,8,car,abnormal_speed,unknown_area,164.08496856689453,781.299560546875,,1.0,"{""speed"": 1161.3316271973401, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_9_1755590940,2025-08-19 16:09:00.051063,9,car,abnormal_speed,unknown_area,472.36436462402344,799.0195159912109,,1.0,"{""speed"": 192.535679536362, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
crowd_unknown_area_1755590940,2025-08-19 16:09:00.051063,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 9, ""threshold"": 5}",system
speed_3_1755590940,2025-08-19 16:09:00.120454,3,car,abnormal_speed,unknown_area,200.0328598022461,697.7028045654297,,1.0,"{""speed"": 1098.861318202479, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_4_1755590940,2025-08-19 16:09:00.120454,4,car,abnormal_speed,unknown_area,313.3763961791992,716.6723022460938,,1.0,"{""speed"": 747.2279106077352, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_5_1755590940,2025-08-19 16:09:00.120454,5,car,abnormal_speed,unknown_area,358.13597106933594,748.2005920410156,,1.0,"{""speed"": 496.46981878438095, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_7_1755590940,2025-08-19 16:09:00.120454,7,car,abnormal_speed,unknown_area,422.7616424560547,764.2965087890625,,1.0,"{""speed"": 326.88925853212123, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_8_1755590940,2025-08-19 16:09:00.120454,8,car,abnormal_speed,unknown_area,54.51626110076904,764.3773498535156,,1.0,"{""speed"": 1596.000518388709, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_9_1755590940,2025-08-19 16:09:00.120454,9,car,abnormal_speed,unknown_area,474.2295684814453,788.5485992431641,,1.0,"{""speed"": 153.10721115051442, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_15_1755590940,2025-08-19 16:09:00.120454,15,car,abnormal_speed,unknown_area,433.6784973144531,774.7050018310547,,1.0,"{""speed"": 228.28759601711073, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
crowd_unknown_area_1755590940,2025-08-19 16:09:00.120454,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 7, ""threshold"": 5}",system
speed_3_1755590940,2025-08-19 16:09:00.175084,3,car,abnormal_speed,unknown_area,139.44317626953125,688.8878173828125,,1.0,"{""speed"": 1120.5834131247236, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_4_1755590940,2025-08-19 16:09:00.175084,4,car,abnormal_speed,unknown_area,273.22894287109375,692.6214141845703,,1.0,"{""speed"": 856.5355902472995, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_5_1755590940,2025-08-19 16:09:00.175084,5,car,abnormal_speed,unknown_area,329.19117736816406,732.4152679443359,,1.0,"{""speed"": 603.4031079346319, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_7_1755590940,2025-08-19 16:09:00.175084,7,car,abnormal_speed,unknown_area,408.1312255859375,750.8689117431641,,1.0,"{""speed"": 363.44431753893275, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_9_1755590940,2025-08-19 16:09:00.175084,9,car,abnormal_speed,unknown_area,472.1121826171875,781.5677490234375,,1.0,"{""speed"": 133.51089567096716, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_15_1755590940,2025-08-19 16:09:00.175084,15,car,abnormal_speed,unknown_area,422.05653381347656,763.7212677001953,,1.0,"{""speed"": 292.66662221786817, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
crowd_unknown_area_1755590940,2025-08-19 16:09:00.175084,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 6, ""threshold"": 5}",system
speed_3_1755590940,2025-08-19 16:09:00.226619,3,car,abnormal_speed,unknown_area,118.92784881591797,687.2333526611328,,1.0,"{""speed"": 399.6802030726814, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_4_1755590940,2025-08-19 16:09:00.226619,4,car,abnormal_speed,unknown_area,226.17240142822266,688.2955474853516,,1.0,"{""speed"": 917.6433060739157, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_5_1755590940,2025-08-19 16:09:00.226619,5,car,abnormal_speed,unknown_area,296.3085708618164,723.2287139892578,,1.0,"{""speed"": 662.9979522312744, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_7_1755590940,2025-08-19 16:09:00.226619,7,car,abnormal_speed,unknown_area,389.5234069824219,741.9521331787109,,1.0,"{""speed"": 400.6903263158751, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_9_1755590940,2025-08-19 16:09:00.226619,9,car,abnormal_speed,unknown_area,461.9944763183594,778.3046417236328,,1.0,"{""speed"": 206.4411081997247, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_15_1755590940,2025-08-19 16:09:00.226619,15,car,abnormal_speed,unknown_area,405.9978790283203,760.2118072509766,,1.0,"{""speed"": 319.2026800722905, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
crowd_unknown_area_1755590940,2025-08-19 16:09:00.226619,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 6, ""threshold"": 5}",system
speed_3_1755590940,2025-08-19 16:09:00.274319,3,car,abnormal_speed,unknown_area,103.70269775390625,686.7822418212891,,1.0,"{""speed"": 319.1249245573724, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_4_1755590940,2025-08-19 16:09:00.274319,4,car,abnormal_speed,unknown_area,184.44391632080078,691.0439147949219,,1.0,"{""speed"": 876.1553563359415, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_5_1755590940,2025-08-19 16:09:00.274319,5,car,abnormal_speed,unknown_area,270.6607208251953,721.7005310058594,,1.0,"{""speed"": 538.3058197550959, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_7_1755590940,2025-08-19 16:09:00.274319,7,car,abnormal_speed,unknown_area,366.4442901611328,742.6941223144531,,1.0,"{""speed"": 483.78464580580516, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_9_1755590940,2025-08-19 16:09:00.274319,9,car,abnormal_speed,unknown_area,443.5477752685547,780.3553009033203,,1.0,"{""speed"": 388.86095919668054, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_15_1755590940,2025-08-19 16:09:00.274319,15,car,abnormal_speed,unknown_area,383.8000183105469,761.6277465820312,,1.0,"{""speed"": 466.01664101869665, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
crowd_unknown_area_1755590940,2025-08-19 16:09:00.274319,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 6, ""threshold"": 5}",system
speed_3_1755590940,2025-08-19 16:09:00.322035,3,car,abnormal_speed,unknown_area,89.50212860107422,690.9223937988281,,1.0,"{""speed"": 310.1914404317142, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_4_1755590940,2025-08-19 16:09:00.322035,4,car,abnormal_speed,unknown_area,149.0519504547119,694.9978332519531,,1.0,"{""speed"": 746.8049922262476, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_5_1755590940,2025-08-19 16:09:00.322035,5,car,abnormal_speed,unknown_area,245.04855346679688,726.8157196044922,,1.0,"{""speed"": 547.7072591296359, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_7_1755590940,2025-08-19 16:09:00.322035,7,car,abnormal_speed,unknown_area,344.5666809082031,745.6759033203125,,1.0,"{""speed"": 463.02632412028856, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_9_1755590940,2025-08-19 16:09:00.322035,9,car,abnormal_speed,unknown_area,420.9656066894531,786.4205322265625,,1.0,"{""speed"": 490.34310565455013, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_15_1755590940,2025-08-19 16:09:00.322035,15,car,abnormal_speed,unknown_area,360.5526580810547,767.1292724609375,,1.0,"{""speed"": 500.97439791928514, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
crowd_unknown_area_1755590940,2025-08-19 16:09:00.322035,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 7, ""threshold"": 5}",system
speed_3_1755590940,2025-08-19 16:09:00.364785,3,car,abnormal_speed,unknown_area,77.01422119140625,692.8403625488281,,1.0,"{""speed"": 295.38800107530847, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_4_1755590940,2025-08-19 16:09:00.364785,4,car,abnormal_speed,unknown_area,123.04348373413086,699.7448120117188,,1.0,"{""speed"": 618.1174420541976, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_5_1755590940,2025-08-19 16:09:00.364785,5,car,abnormal_speed,unknown_area,219.49184799194336,731.4590759277344,,1.0,"{""speed"": 607.2922134493839, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_7_1755590940,2025-08-19 16:09:00.364785,7,car,abnormal_speed,unknown_area,320.3663787841797,752.5474548339844,,1.0,"{""speed"": 588.1643156121107, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_9_1755590940,2025-08-19 16:09:00.364785,9,car,abnormal_speed,unknown_area,397.0222473144531,792.7422637939453,,1.0,"{""speed"": 578.9736210315258, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_15_1755590940,2025-08-19 16:09:00.364785,15,car,abnormal_speed,unknown_area,336.7762145996094,775.3461532592773,,1.0,"{""speed"": 588.1473785859248, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_26_1755590940,2025-08-19 16:09:00.364785,26,car,abnormal_speed,unknown_area,148.77586364746094,804.9322967529297,,1.0,"{""speed"": 543.3371260339308, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
crowd_unknown_area_1755590940,2025-08-19 16:09:00.364785,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 7, ""threshold"": 5}",system
speed_3_1755590940,2025-08-19 16:09:00.412853,3,car,abnormal_speed,unknown_area,63.434273198246956,696.3290100097656,,1.0,"{""speed"": 291.7617034412506, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_4_1755590940,2025-08-19 16:09:00.412853,4,car,abnormal_speed,unknown_area,103.9719467163086,703.0174865722656,,1.0,"{""speed"": 402.6613776790411, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_5_1755590940,2025-08-19 16:09:00.412853,5,car,abnormal_speed,unknown_area,190.73684692382812,736.8372497558594,,1.0,"{""speed"": 608.7404178669807, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_7_1755590940,2025-08-19 16:09:00.412853,7,car,abnormal_speed,unknown_area,294.4656295776367,757.6126861572266,,1.0,"{""speed"": 549.1798802822194, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_9_1755590940,2025-08-19 16:09:00.412853,9,car,abnormal_speed,unknown_area,371.1159210205078,798.6256790161133,,1.0,"{""speed"": 552.8133690028197, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_15_1755590940,2025-08-19 16:09:00.412853,15,car,abnormal_speed,unknown_area,314.8321075439453,780.0391845703125,,1.0,"{""speed"": 466.9620705287109, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_26_1755590940,2025-08-19 16:09:00.412853,26,car,abnormal_speed,unknown_area,127.77585220336914,809.4938430786133,,1.0,"{""speed"": 447.18084710873694, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
crowd_unknown_area_1755590940,2025-08-19 16:09:00.412853,-1,crowd,crowding,unknown_area,0.0,0.0,,1.0,"{""count"": 7, ""threshold"": 5}",system
speed_3_1755590940,2025-08-19 16:09:00.458441,3,car,abnormal_speed,unknown_area,50.25832262635231,698.3002624511719,,1.0,"{""speed"": 292.2903456320768, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_4_1755590940,2025-08-19 16:09:00.458441,4,car,abnormal_speed,unknown_area,91.22016906738281,704.8713684082031,,1.0,"{""speed"": 282.70806792233736, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
speed_5_1755590940,2025-08-19 16:09:00.458441,5,car,abnormal_speed,unknown_area,166.29636764526367,743.0839767456055,,1.0,"{""speed"": 553.4477761266191, ""threshold"": 100.0}",20250819_160846_IMG_5875.mov
