timestamp,frame_number,object_id,object_type,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,width,height,area,zone,speed,direction,source
2025-08-02 22:43:59.689443,0,1,person,0.6295415163040161,0.2291412353515625,9.58740234375,201.3900604248047,674.120361328125,100.80960083007812,341.8538818359375,201.16091918945312,664.532958984375,133678.06086098403,left_area,,,20250802_224359_1338590-hd_1920_1080_30fps.mp4
2025-08-02 22:43:59.689443,0,2,person,0.5806723237037659,1019.6563720703125,103.38763427734375,1149.83740234375,465.2462158203125,1084.7468872070312,284.3169250488281,130.1810302734375,361.85858154296875,47107.12295854837,center_area,,,20250802_224359_1338590-hd_1920_1080_30fps.mp4
2025-08-02 22:43:59.689443,0,3,person,0.4740278422832489,1389.10888671875,649.2572021484375,1516.382568359375,887.7811584472656,1452.7457275390625,768.5191802978516,127.273681640625,238.52395629882812,30357.8220776394,right_area,,,20250802_224359_1338590-hd_1920_1080_30fps.mp4
2025-08-02 22:43:59.689443,0,4,person,0.470564067363739,1117.7979736328125,254.71563720703125,1265.1773681640625,498.967529296875,1191.4876708984375,376.8415832519531,147.37939453125,244.25189208984375,35997.69596931338,center_area,,,20250802_224359_1338590-hd_1920_1080_30fps.mp4
2025-08-02 22:43:59.689443,0,5,person,0.45357832312583923,407.378662109375,0.0,603.2548828125,509.98095703125,505.3167724609375,254.990478515625,195.876220703125,509.98095703125,99893.14249384403,entrance,,,20250802_224359_1338590-hd_1920_1080_30fps.mp4
2025-08-02 22:43:59.689443,0,6,person,0.4511992931365967,0.46163177490234375,536.5326538085938,110.70724487304688,839.8230590820312,55.58443832397461,688.1778564453125,110.24561309814453,303.2904052734375,33436.436676154844,left_area,,,20250802_224359_1338590-hd_1920_1080_30fps.mp4
2025-08-02 22:43:59.689443,0,7,person,0.44791731238365173,1162.5,437.408447265625,1273.2891845703125,636.0724792480469,1217.8945922851562,536.7404632568359,110.7891845703125,198.66403198242188,22009.826106783003,center_area,,,20250802_224359_1338590-hd_1920_1080_30fps.mp4
2025-08-02 22:43:59.689443,0,8,person,0.42261549830436707,966.1458740234375,598.115478515625,1062.456298828125,818.1903076171875,1014.3010864257812,708.1528930664062,96.3104248046875,220.0748291015625,21195.500279590487,center_area,,,20250802_224359_1338590-hd_1920_1080_30fps.mp4
2025-08-02 22:43:59.689443,0,9,person,0.4107799530029297,455.56280517578125,102.09100341796875,683.542236328125,654.3389282226562,569.5525207519531,378.2149658203125,227.97943115234375,552.2479248046875,125901.16775203496,center_area,,,20250802_224359_1338590-hd_1920_1080_30fps.mp4
2025-08-02 22:43:59.689443,0,10,person,0.39462387561798096,1024.5062255859375,443.4422607421875,1149.4437255859375,621.7799682617188,1086.9749755859375,532.6111145019531,124.9375,178.33770751953125,22281.067333221436,center_area,,,20250802_224359_1338590-hd_1920_1080_30fps.mp4
2025-08-02 22:43:59.689443,0,11,person,0.34156227111816406,278.19586181640625,478.90863037109375,487.2981872558594,779.4971313476562,382.7470245361328,629.202880859375,209.10232543945312,300.5885009765625,62853.754554558545,left_area,,,20250802_224359_1338590-hd_1920_1080_30fps.mp4
2025-08-02 22:43:59.689443,0,12,person,0.2922382652759552,1195.8603515625,732.8180236816406,1266.814453125,954.4739151000977,1231.33740234375,843.6459693908691,70.9541015625,221.65589141845703,15727.394631631672,exit,,,20250802_224359_1338590-hd_1920_1080_30fps.mp4
2025-08-02 22:43:59.689443,0,13,person,0.291979044675827,109.84249877929688,489.12060546875,302.151611328125,808.2496948242188,205.99705505371094,648.6851501464844,192.30911254882812,319.12908935546875,61371.43196246587,left_area,,,20250802_224359_1338590-hd_1920_1080_30fps.mp4
2025-08-02 22:43:59.689443,0,14,person,0.27141425013542175,1454.405029296875,263.89923095703125,1595.623291015625,469.1309814453125,1525.01416015625,366.5151062011719,141.21826171875,205.23175048828125,28982.4710534513,right_area,,,20250802_224359_1338590-hd_1920_1080_30fps.mp4
2025-08-02 22:43:59.689443,0,15,person,0.2701902389526367,1245.506103515625,262.6541748046875,1502.873291015625,630.7220458984375,1374.189697265625,446.6881103515625,257.3671875,368.06787109375,94728.59279251099,center_area,,,20250802_224359_1338590-hd_1920_1080_30fps.mp4
2025-08-02 22:43:59.689443,0,16,person,0.2661462724208832,587.1830444335938,698.1019897460938,677.8134155273438,926.1687469482422,632.4982299804688,812.135368347168,90.63037109375,228.06675720214844,20669.774839378893,exit,,,20250802_224359_1338590-hd_1920_1080_30fps.mp4
2025-08-02 22:43:59.689443,0,17,person,0.262459933757782,793.278076171875,335.56787109375,1015.9471435546875,672.498046875,904.6126098632812,504.032958984375,222.6690673828125,336.93017578125,75023.92801433802,center_area,,,20250802_224359_1338590-hd_1920_1080_30fps.mp4
2025-08-02 22:43:59.689443,0,18,person,0.2568053603172302,512.9384765625,512.15576171875,630.5560913085938,745.7258911132812,571.7472839355469,628.9408264160156,117.61761474609375,233.57012939453125,27471.961495321244,center_area,,,20250802_224359_1338590-hd_1920_1080_30fps.mp4
2025-08-02 22:43:59.767507,3,1,person,0.6942324638366699,0.5973701477050781,8.295654296875,326.4369201660156,673.1622314453125,163.51714515686035,340.72894287109375,325.83955001831055,664.8665771484375,216639.82632026123,left_area,803.4130189230931,-1.0277446296915564,20250802_224359_1338590-hd_1920_1080_30fps.mp4
